date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:01:00	0/0	---M--	301	error ('Moved%20Permanently')	application/binary	date:Tue,%2002%20Nov%202021%2010:31:00%20GMT	http://sites.google.com/view/momentumgq	E:/My%20Websites/Momentum/sites.google.com/view/momentumgq.0.delayed	(from )
16:01:01	49435/49435	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2010:31:01%20GMT	https://sites.google.com/view/momentumgq	E:/My%20Websites/Momentum/sites.google.com/view/momentumgq.html	(from )
16:01:01	67/67	---MCZ	200	added ('OK')	text/plain	date:Tue,%2002%20Nov%202021%2010:31:01%20GMT	https://sites.google.com/robots.txt		(from )
16:01:02	12858/12858	---MC-	200	added ('OK')	application/javascript	date:Tue,%2002%20Nov%202021%2010:31:02%20GMT	https://apis.google.com/js/client.js?onload=gapiLoaded	E:/My%20Websites/Momentum/apis.google.com/js/clientc932.js	(from https://sites.google.com/view/momentumgq)
16:01:02	49460/49460	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2010:31:02%20GMT	https://sites.google.com/view/momentumgq/home	E:/My%20Websites/Momentum/sites.google.com/view/momentumgq/home.html	(from https://sites.google.com/view/momentumgq)
16:01:03	0/0	---M--	302	error ('Found')	application/binary	date:Tue,%2002%20Nov%202021%2010:31:03%20GMT	https://sites.google.com/view/%22https://discord.gg/uGvPbfxYHQ%22	E:/My%20Websites/Momentum/sites.google.com/view/_https_/discord.gg/uGvPbfxYHQ_.4.delayed	(from https://sites.google.com/view/momentumgq)
16:01:03	0/0	---M--	302	error ('Found')	application/binary	date:Tue,%2002%20Nov%202021%2010:31:03%20GMT	https://sites.google.com/view/%22support.momentum.gq%22	E:/My%20Websites/Momentum/sites.google.com/view/_support.momentum.5.delayed	(from https://sites.google.com/view/momentumgq)
16:01:04	0/0	---M--	302	error ('Found')	application/binary	date:Tue,%2002%20Nov%202021%2010:31:04%20GMT	https://sites.google.com/view/%22blog.momentum.gq%22	E:/My%20Websites/Momentum/sites.google.com/view/_blog.momentum.6.delayed	(from https://sites.google.com/view/momentumgq)
16:01:04	35959/35959	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Nov%202021%2010:31:05%20GMT	https://sites.google.com/view/momentumgq/%22https://discord.gg/uGvPbfxYHQ%22	E:/My%20Websites/Momentum/sites.google.com/view/momentumgq/_https_/discord.gg/uGvPbfxYHQ_.7.delayed	(from https://sites.google.com/view/momentumgq/home)
16:01:05	35899/35899	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Nov%202021%2010:31:05%20GMT	https://sites.google.com/view/momentumgq/%22support.momentum.gq%22	E:/My%20Websites/Momentum/sites.google.com/view/momentumgq/_support.momentum.8.delayed	(from https://sites.google.com/view/momentumgq/home)
16:01:06	35882/35882	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Nov%202021%2010:31:06%20GMT	https://sites.google.com/view/momentumgq/%22blog.momentum.gq%22	E:/My%20Websites/Momentum/sites.google.com/view/momentumgq/_blog.momentum.9.delayed	(from https://sites.google.com/view/momentumgq/home)
